time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
1230, 2, 10000, -2100, 6471, -94.515656, -0.958796
1232, 2, 10000, -2104, 6468, -94.680458, -1.438195
1234, 2, 10000, -2104, 6468, -94.680458, 0.000000
1236, 2, 10000, -2105, 6467, -94.735397, -0.479398
1237, 1, 10000, -2107, 6465, -94.845268, -1.917593
1239, 2, 10000, -2112, 6461, -95.065010, -1.917593
1241, 2, 10000, -2118, 6456, -95.339684, -2.396991
1243, 2, 10000, -2128, 6448, -95.779160, -3.835186
1245, 2, 10000, -2136, 6441, -96.163704, -3.355788
1247, 2, 10000, -2147, 6432, -96.658119, -4.314584
1249, 2, 10000, -2161, 6421, -97.262405, -5.273381
1251, 2, 10000, -2174, 6410, -97.866692, -5.273381
1254, 3, 10000, -2200, 6389, -99.020325, -6.711575
1256, 2, 10000, -2200, 6389, -99.020325, 0.000000
1258, 2, 10000, -2211, 6380, -99.514740, -4.314584
1259, 1, 10000, -2222, 6371, -100.009155, -8.629168
1260, 1, 10000, -2222, 6371, -100.009155, 0.000000
1262, 2, 10000, -2235, 6360, -100.613441, -5.273381
1264, 2, 10000, -2239, 6357, -100.778244, -1.438195
1268, 4, 10000, -2241, 6355, -100.888115, -0.479398
1270, 2, 10000, -2241, 6355, -100.888115, 0.000000
1272, 2, 10000, -2239, 6357, -100.778244, 0.958796
1273, 1, 10000, -2238, 6358, -100.723312, 0.958796
1275, 2, 10000, -2234, 6361, -100.558502, 1.438195
1277, 2, 10000, -2232, 6363, -100.448639, 0.958796
1279, 2, 10000, -2228, 6366, -100.283829, 1.438195
1281, 2, 10000, -2226, 6368, -100.173958, 0.958796
1282, 1, 10000, -2222, 6371, -100.009155, 2.876390
1284, 2, 10000, -2221, 6372, -99.954224, 0.479398
1286, 2, 10000, -2221, 6372, -99.954224, 0.000000
1288, 2, 10000, -2221, 6372, -99.954224, 0.000000
1290, 2, 10000, -2218, 6374, -99.844353, 0.958796
1291, 1, 10000, -2218, 6374, -99.844353, 0.000000
1293, 2, 10000, -2217, 6375, -99.789413, 0.479398
1295, 2, 10000, -2215, 6377, -99.679543, 0.958796
1297, 2, 10000, -2213, 6378, -99.624611, 0.479398
1299, 2, 10000, -2210, 6381, -99.459808, 1.438195
1305, 6, 10000, -2195, 6393, -98.800583, 1.917593
1307, 2, 10000, -2189, 6398, -98.525909, 2.396991
1309, 2, 10000, -2182, 6404, -98.196304, 2.876390
1311, 2, 10000, -2174, 6410, -97.866692, 2.876390
1312, 1, 10000, -2167, 6416, -97.537079, 5.752779
1314, 2, 10000, -2157, 6424, -97.097603, 3.835186
